name,deal,price,type
Anthem,Lonestar Draft,3,Drink
Anthem,Select Wine by the Glass,4,Drink
Anthem,House Margarita,5,Drink
Anthem,Frozen Blood Orange Margarita,6,Drink
Anthem,Frozen Banana Daiquiri,6,Drink
Anthem,Select Cocktails,7,Drink
Anthem,Salted,4,Food
Anthem,Spicy,4.00,Food
Anthem,Shishito Pepper Queso,5,Food
Anthem,Chips & Guac,6,Food
Anthem,Hong Kong Waffle,7,Food
Anthem,Upside Down Pineapple Bread Pudding,7,Food
Anthem,Yummy Fries,10,Food
Anthem,Jfc Popcorn Chicken,10,Food
Arlo Grey,Shiner Bock,4,Drink
Arlo Grey,ABW. PearlSnap Pilsner,4,Drink
Arlo Grey,Wine,6,Drink
Arlo Grey,Sundown Cobbler,9,Drink
Arlo Grey,Il Fico,9,Drink
Arlo Grey,Wicked Warden,9,Drink
Arlo Grey,Snow Cobbler,9,Drink
Arlo Grey,Mocking Bird,12,Drink
Arlo Grey,Harvet Spritz,13,Drink
Arlo Grey,Freetail,13,Drink
Arlo Grey,Nighthawk,14,Drink
Arlo Grey,Wild Side,14,Drink
Arlo Grey,Strawberry Moon,14,Drink
Arlo Grey,Persephone's Negroni,15,Drink
Arlo Grey,PG Martini,15,Drink
Arlo Grey,Housemade Pickles,6,Food
Arlo Grey,Spiced Pecans,6,Food
Arlo Grey,Housemade Pita Bread,6,Food
Arlo Grey,Patatas Bravas,10,Food
Arlo Grey,Hydroponic Greens Salad,10,Food
Arlo Grey,Roasted Tomato Dip,11,Food
Arlo Grey,Tzatziki,12,Food
Arlo Grey,Little Gem Caesar,12,Food
Arlo Grey,Charred Cauliflower & Romanesco,12,Food
Arlo Grey,Whipped Ricotta,15,Food
Arlo Grey,Local Wagyu Beef Carpaccio,17,Food
Arlo Grey,Local Parmesan Grits,21,Food
Arlo Grey,Saffron Pappardelle,23,Food
Arlo Grey,Artisanal Cheeses,25,Food
Arlo Grey,Charcuterie & House Pate,25,Food
Bar Peached,Draft Beer,5,Drink
Bar Peached,Wine,6,Drink
Bar Peached,Draft Cocktails,7,Drink
Bar Peached,Tacos,4,Food
Bar Peached,Snacks,5,Food
Bar Peached,A Little More,7,Food
Better Half Coffee & Cocktails,High Life,2.00,Drink
Better Half Coffee & Cocktails,Kolsch,3,Drink
Better Half Coffee & Cocktails,Sangria,6,Drink
Better Half Coffee & Cocktails,Cheeseburgers,6,Food
Black Star Co-Op,House Beer,4,Drink
Black Star Co-Op,House Wine,5,Drink
Black Star Co-Op,Snacks,6,Food
Bufalina Pizza,House Wine by the Glass,5,Drink
Central Standard,Select Cocktails,2,Drink
Clark’s Oyster Bar,Oyster Shooters & Draft Beer,5,Drink
Clark’s Oyster Bar,Oyster Shooters,5,Food
Contigo,Draft Beers,1,Drink
Contigo,House Cocktails,2,Drink
Contigo,Local Cans,3,Drink
Contigo,House Wine,5,Drink
Contigo,Frozens,6,Drink
Contigo,Hummus,7,Food
Contigo,Crispy Green Beans,7,Food
Culinary Dropout,Sangria,6,Drink
Culinary Dropout,Cheap Vino,5,Drink
Culinary Dropout,Draught,5,Drink
Culinary Dropout,Double Blind,5,Drink
Culinary Dropout,Well Cocktails,5,Drink
Culinary Dropout,Airplane Pickleback,5,Drink
Culinary Dropout,House Potato Chips & Onion Dip,4,Food
Culinary Dropout,Hand Cut French Fries,3,Food
Culinary Dropout,Toasted Bread,2,Food
Culinary Dropout,Antipasti,8,Food
Culinary Dropout,Today's Chopped Salad,6,Food
Culinary Dropout,Shrimp & Avocado Ceviche,9,Food
Culinary Dropout,Pork Belly Nachos,9,Food
Culinary Dropout,Cheese Plate,6,Food
Culinary Dropout,Korean Fried Chicken,6,Food
Culinary Dropout,Pretzels & Fondue,8,Food
Culinary Dropout,Meatloaf Sandwich,6,Food
DuMont’s Down Low,Miller Lites and Lonestars,3,Drink
DuMont’s Down Low,Mule,5,Drink
DuMont’s Down Low,Lone Star and TW Samuels (The Low Down),5,Drink
DuMont’s Down Low,Paloma or Margarita,6,Drink
DuMont’s Down Low,Gold Rush,6,Drink
DuMont’s Down Low,Glasses of house red and white wine,6,Drink
DuMont’s Down Low,The Blanche,7,Drink
DuMont’s Down Low,Barrel Aged Old Fashioned,7,Drink
Fixe Southern House,World Class by the Glass,9,Drink
Fixe Southern House,Cocktails,7,Drink
Fixe Southern House,Beer,5,Drink
Fixe Southern House,Deviled Eggs,8,Food
Fixe Southern House,Smoked Trout Dip,8,Food
Fixe Southern House,Corn & Crab Hushpuppies,8,Food
Fixe Southern House,Pimento Cheese,8,Food
Fixe Southern House,Sweet Tea Pickles,8,Food
Fixe Southern House,Little Gem Salad,8,Food
Fixe Southern House,Beets,8,Food
Fixe Southern House,Southern Fish Fry,11,Food
Fixe Southern House,Fried Chicken Sandwich,11,Food
Fixe Southern House,Fixe Burger,11,Food
Fixe Southern House,Blue Crab Fingers,14,Food
Fixe Southern House,Peel & Eat Shrimp,14,Food
Fixe Southern House,Gulf Seafood Chopped Salad,14,Food
Fixe Southern House,Tuna Tartare,14,Food
Foreign & Domestic,Popovers & Charred Onion Butter,4,Food
Foreign & Domestic,Pommes Frites & Rouille,4,Food
Foreign & Domestic,Onion Rings & Buttermilk,4,Food
Foreign & Domestic,Red Pepper Zeppole & Chevre,6,Food
Foreign & Domestic,44 Farms Cheddar Burger,8,Food
Hank’s,Beer,1,Drink
Hank’s,Frozen Cocktails & Tap Cocktails,6,Drink
Hank’s,Tap Wine,6,Drink
Hank’s,Appetizers,3,Food
Hideaway Kitchen & Bar,Beer,1,Drink
Hideaway Kitchen & Bar,Cocktails,2,Drink
Hideaway Kitchen & Bar,Wine,2,Drink
Hideaway Kitchen & Bar,Small Plates,2,Food
Josephine House,Alcoholic Beverages,2,Drink
Juliet Italian Kitchen,Draft Beer,5,Drink
Juliet Italian Kitchen,South Austin Sips,5,Drink
Juliet Italian Kitchen,Wines by the Glass,6,Drink
Juliet Italian Kitchen,Caprese Bruschetta,8,Food
Juliet Italian Kitchen,Salmon Crudo,8,Food
Juliet Italian Kitchen,Calamari,10,Food
Juliet Italian Kitchen,Cheese & Meat Board For Two,18,Food
Juliet Italian Kitchen,Apple & Gorgonzola Pizza,12,Food
Lamberts,Cocktails,2,Drink
Lamberts,Draft Beer,2,Drink
Lamberts,Wine By The Glass,2,Drink
Lamberts,2 Oz Pours Of Whisky For The Price Of A 1 Oz Pour,2,Drink
Nightcap,Beer,4,Drink
Nightcap,"House Wine White, Red, Rosé Glass/bottle",5,Drink
Nightcap,Signature Cocktails,10,Drink
Nightcap,Arroz Con Pollo,6,Food
Nightcap,Spanish Meat And Cheese,6,Food
Nightcap,69 Skrimps,6,Food
Nightcap,Olives And Nuts,6,Food
Nightcap,Italian Meat And Cheese,6,Food
Nightcap,Crispy Brussels Sprouts,10,Food
Nightcap,"When I Dip, You Dip, We Dip",10,Food
Nightcap,Grilled Texas Quail,10,Food
Péché,Cocktails,6,Drink
Perla’s,Beverages,2,Drink
Scholz Garten,Draught Beer,2,Drink
Scholz Garten,Cocktails,5,Drink
Scholz Garten,Haus Wine,5,Drink
Scholz Garten,Select Apps,5,Food
She’s Not Here,Summer Sipper,7,Drink
She’s Not Here,Mai Tai,7,Drink
She’s Not Here,Tropical Storm,7,Drink
She’s Not Here,Painkiller,7,Drink
She’s Not Here,House White Wine,7,Drink
She’s Not Here,House Red Wine,7,Drink
She’s Not Here,50% Off All Bottles of Bubbles,7,Drink
She’s Not Here,Krab Butter Temaki,7,Food
She’s Not Here,Spicy Tuna/Salmon Temaki,7,Food
She’s Not Here,Negihama Temaki,7,Food
She’s Not Here,Umeboshi Temaki,7,Food
She’s Not Here,Spam Musubi Temaki,7,Food
She’s Not Here,Chicken or Tofu Satay,7,Food
She’s Not Here,Vegetable Tempura,7,Food
She’s Not Here,Chicken Katsu Sando,7,Food
Swift’s Attic,Miller Lites,2,Drink
Swift’s Attic,Hh White/Red By The Glass,5,Drink
Swift’s Attic,Champampaloma,6,Drink
Swift’s Attic,1984,6,Drink
Swift’s Attic,Moscow Or Kentucky Mule,6,Drink
Swift’s Attic,New Fashioned,7,Drink
Swift’s Attic,Campo Viejo Brut Rose,26,Drink
Swift’s Attic,Your Favorite Drink,8,Drink
Swift’s Attic,Cuidado,8,Drink
Swift’s Attic,Under Pints For Shorty Prices,9,Drink
Swift’s Attic,Charred Edamame,7,Food
Swift’s Attic,Mash Ups,8,Food
Swift’s Attic,Kale Caesar,9,Food
Swift’s Attic,Rillette & Focaccia,13,Food
The Roosevelt Room,Beer,1,Drink
The Roosevelt Room,Glasses Of Wine,2,Drink
The Roosevelt Room,Old Fashioned,8,Drink
The Roosevelt Room,Vodkadora,8,Drink
The Roosevelt Room,French 75,8,Drink
The Roosevelt Room,Margarita,8,Drink
The Roosevelt Room,Banana Daiquiri,8,Drink
The Roosevelt Room,Charlie Chaplin,8,Drink
The Roosevelt Room,Negroni,8,Drink
The Roosevelt Room,White Russian,8,Drink
The Roosevelt Room,Small Fare Food,1,Food
The Roosevelt Room,Sweats,1,Food
The Roosevelt Room,Large Fare Food,2,Food
Trulucks Arboretum,25% off all spirits under,25,Drink
Trulucks Downtown,25% off all spirits under,25,Drink
Uchiko,Takara Nigori,4,Drink
Uchiko,Gekkeikan,3,Drink
Uchiko,Nihonsakari,9,Drink
Uchiko,Sapporo Premium (12oz),3.00,Drink
Uchiko,Murasakino,9,Drink
Uchiko,Oxford Landing Pinot Grigio,7,Drink
Uchiko,Le Grand Prebois Garnacha Rose,7,Drink
Uchiko,The Curator Shiraz Pinotage,7,Drink
Uchiko,Pali Wine Co Riveria Pinot Noir,9,Drink
Uchiko,Hamachi Maki,6,Food
Uchiko,Sake Maki,6,Food
Uchiko,Wagyu Maki,9,Food
Uchiko,Hama Chili,8,Food
Uchiko,Papaya,6,Food
Uchiko,Kabocha Tempura,6,Food
Uchiko,Ebi,7,Food
Uchiko,Fried Chicken,8,Food
Uchiko,Tako,6,Food
Uchiko,Mapo Tofu,5,Food
Uchiko,Gyudon,9,Food
Uchiko,Avocado Nigiri (2 pc),3.00,Food
Uchiko,Sake Nigiri (2 pc),4,Food
Uchiko,Bincho Nigiri (2 pc),5,Food
Uchiko,Maguro Nigiri (2 pc),6,Food
Uchiko,Foie Gras Gunkan (2 pc),10,Food
Uchiko,Boquerones Nigiri(2 pc),4,Food
Uchiko,Jasmine Cream,6,Food
Uchiko,Bruleed Donut,6,Food
Uncle Nicky’s,Disco Lemonade Shots,1,Drink
Uncle Nicky’s,Alstadt & High Life Ponies,2,Drink
Uncle Nicky’s,Glasses of House White and Red,4,Drink
Uncle Nicky’s,"Spritz (Aperol, UN, Blood Orange)",6,Drink
Uncle Nicky’s,Cheese Plate + Bottle of Wine (House White/Red),20,Drink
W Austin,Cocktails,5,Drink
W Austin,Snacks,5,Food
