name,end_time,start_time,start_day,end_day
Anthem,6:30 PM,4:30 PM,wednesday,friday
Anthem,6:30 PM,3 PM,saturday,saturday
Arlo Grey,5 PM,4 PM,monday,thursday
Bar Peached,6:30 PM,5 PM,monday,sunday
Better Half Coffee & Cocktails,6 PM,3 PM,sunday,friday
Black Star Co-Op,6 PM,4 PM,tuesday,thursday
Bufalina Pizza,5:30 PM,4 PM,tuesday,thursday
Central Standard,6:30 PM,3 PM,wednesday,saturday
Clark’s Oyster Bar,5 PM,3 PM,monday,friday
Clark’s Oyster Bar,5 PM,3 PM,saturday & sunday,saturday & sunday
Contigo,6 PM,4 PM,sunday,thursday
Culinary Dropout,6 PM,3 PM,monday,friday
Dave & Buster’s,7 PM,4 PM,monday,friday
Dave & Buster’s,11 PM,9 PM,sunday,thursday
DuMont’s Down Low,7 PM,5 PM,monday,friday
DuMont’s Down Low,2 AM,5 PM,sunday,sunday
Fixe Southern House,7 PM,4:30 PM,monday,saturday
Fixe Southern House,2 AM,2 PM,sunday,sunday
Foreign & Domestic,6:30 PM,5:30 PM,tuesday,saturday
Hank’s,6:30 PM,3 PM,monday,sunday
Hideaway Kitchen & Bar,7 PM,3 PM,monday,sunday
Irene’s,6:30 PM,3:30 PM,monday,saturday
Josephine House,6 PM,4 PM,monday,saturday
Juliet Italian Kitchen,6 PM,3 PM,monday,sunday
La Condesa,6 PM,4 PM,wednesday,saturday
La Condesa,3 PM,11 PM,sunday,sunday
Lamberts,7 PM,5 PM,monday,sunday
Nightcap,7 PM,5 PM,tuesday,friday
Olive & June,6 PM,2PM,tuesday,friday
Péché,7 PM,4 PM,tuesday,friday
Perla’s,6 PM,3 PM,monday,friday
Scholz Garten,5 PM,3 PM,wednesday,friday
Scholz Garten,7 PM,4 PM,monday,friday
She’s Not Here,6:30 PM,4 PM,monday,sunday
Swift’s Attic,5:30 PM,4 PM,thursday,saturday
The Roosevelt Room,7 PM,4 PM,monday,saturday
The Roosevelt Room,7 PM,3 PM,sunday,sunday
Trulucks Arboretum,6 PM,4:30 PM,monday,sunday
Trulucks Downtown,6 PM,4:30 PM,sunday,thursday
Uchiko,6:30 PM,5 PM,monday,sunday
Uncle Nicky’s,5 PM,2 PM,monday,sunday
Vamonos,6 PM,4 PM,monday,saturday
W Austin,7 PM,5 PM,monday,friday